num_leaves,max_depth,min_child_samples,best iteration,model size,train rmse,test rmse,test rmse stddev
250,100,40,1015,21843030,1702804,4483491,156343.94900619198
200,100,40,1309,22541738,1679222,4467510,149188.82678213494
150,100,40,1628,21016638,1751558,4449981,151831.9895627326
100,100,40,2329,20034489,1813967,4447538,151165.23413018207
50,100,40,3684,16163145,2116749,4426816,137010.40440101185
31,100,40,5297,14758091,2302075,4444290,135098.78062681068
25,100,40,6093,13896838,2409952,4456815,147657.6480636887
20,100,40,6489,12065533,2615232,4465210,142649.03074121932
10,100,40,9368,9516495,3127457,4508497,145636.09351756735
1000,100,30,370,31694141,1426294,4585368,159168.64020728783
500,100,30,690,29576187,1304598,4501157,148755.57685388214
300,100,30,1050,26979919,1362171,4458974,140514.58346094823
250,100,30,1196,25619927,1419320,4440650,145982.71884922194
200,100,30,1417,24278562,1484011,4437947,146176.21866631764
150,100,30,1781,22875024,1575026,4420608,138307.40217219328
100,100,30,2221,19013868,1766275,4419634,143189.82219101264
50,100,30,4070,17775063,1924898,4414528,132088.22079906068
31,100,30,5616,15583362,2146767,4426174,141366.2626326347
25,100,30,5766,13103860,2386556,4442899,138621.0677792383
20,100,30,6426,11910052,2547800,4446576,125871.9937879084
10,100,30,9217,9339520,3068234,4504117,137928.4381083003
1000,100,25,442,37748238,1100422,4567323,152736.57030727307
500,100,25,670,28619641,1235983,4489010,160681.96389648007
300,100,25,1077,27587764,1273887,4440967,146339.21062147274
250,100,25,1249,26678438,1339591,4431234,147688.70325706294
200,100,25,1436,24537954,1399411,4424472,148609.84484322468
150,100,25,1853,23727706,1480682,4409198,146730.26373939638
100,100,25,2585,22056208,1577897,4398929,138650.64083667012
50,100,25,4125,17964770,1875936,4406428,125846.34922885508
31,100,25,5655,15654187,2103818,4414901,130166.5483973334
25,100,25,6207,14070442,2269596,4430404,134562.58025016027
20,100,25,7036,13007759,2436113,4439130,134205.63341912915
10,100,25,8786,8890864,3068226,4502340,139068.0270344066
1000,100,20,403,34343125,1038500,4558376,156774.6621921376
500,100,20,738,31449360,1083358,4477357,134312.90257945677
300,100,20,1075,27467473,1228428,4427170,140849.94184349405
250,100,20,1472,31338937,1138506,4425008,146518.6847251392
200,100,20,1465,24954341,1327448,4414120,142774.12198075312
150,100,20,1948,24879967,1357610,4394494,132062.50301042962
100,100,20,2831,24083644,1418137,4382888,129985.7437450825
50,100,20,4125,17925540,1816822,4395768,126432.70774260531
31,100,20,5430,14999222,2074058,4408703,136708.1015223713
25,100,20,6849,15488266,2108465,4413688,133735.63802994677
20,100,20,7143,13178642,2343670,4427242,135371.1816250072
10,100,20,9482,9577670,2942739,4488307,145559.14171753556
1000,100,15,411,36525323,881922,4555116,130815.3802526707
500,100,15,780,34617814,969633,4471649,132868.10509892055
300,100,15,1260,33506648,1014112,4432982,141325.0880341581
250,100,15,1326,29356719,1154481,4420621,138640.8477978859
200,100,15,1740,30799719,1098134,4402739,147521.03428208266
150,100,15,2125,28174856,1228048,4385016,143167.45104063977
100,100,15,3037,26791824,1308831,4380399,131344.30296414075
50,100,15,4564,20459076,1641129,4376800,128258.18975883101
31,100,15,5901,16743173,1937472,4401646,141927.6009886249
25,100,15,7098,16456732,1986546,4388311,129437.97776149977
20,100,15,7712,14548766,2187004,4414485,144990.6074152667
10,100,15,8836,9050418,2961715,4487220,157801.98498587144
1000,100,10,449,42653031,713194,4556383,142857.5501624512
500,100,10,878,41671833,798417,4475201,139124.08978921417
300,100,10,1333,37859976,908586,4419125,135725.24617256605
250,100,10,1469,34712927,983934,4411438,129672.66519542034
200,100,10,1875,35394919,967154,4378000,133338.49061058598
150,100,10,2555,36125459,985843,4374639,129040.42892554025
100,100,10,2815,26338631,1269568,4367959,126792.2038219298
50,100,10,4586,21673744,1544357,4362232,126028.40564358867
31,100,10,6007,17851738,1822709,4374915,122444.13566606869
25,100,10,7184,17395902,1894735,4383208,133338.77017348373
20,100,10,8124,15933624,2047102,4392150,124651.38040334349
10,100,10,9811,10288242,2783887,4468987,135052.8713243368
1000,100,5,681,64698488,363919,4571025,129408.05041484309
500,100,5,1077,51067605,532124,4466261,136491.25099753775
300,100,5,1691,48025650,604904,4396486,131231.23222974926
250,100,5,1955,46244605,646158,4390135,136673.55349671806
200,100,5,2015,38062520,783306,4367499,126452.18583511499
150,100,5,2774,39255979,764022,4349686,133267.80943024537
100,100,5,3709,34882936,899541,4358235,133713.7450669293
50,100,5,4935,23453607,1354747,4351404,117638.7533237478
31,100,5,6690,20015442,1598217,4371928,123101.63496796426
25,100,5,7350,17905978,1767324,4377314,121917.77379929136
20,100,5,7775,15344226,1992021,4391018,133356.07896574348
10,100,5,9707,10233764,2716246,4462827,137585.2237056454
1000,100,3,778,72075137,266159,4559696,133821.42739251183
500,100,3,1349,62487065,335055,4448424,133987.40175408535
300,100,3,1893,52671050,457198,4385665,136055.47266041138
250,100,3,1968,45633070,556228,4378988,131759.3845941119
200,100,3,2465,45698505,555869,4359156,132439.58088944718
150,100,3,3177,44143069,610889,4351062,139987.1587921777
100,100,3,4175,38616310,752211,4351073,132422.61169883134
50,100,3,6065,28483916,1086643,4353311,133018.2944884145
31,100,3,7111,21076239,1459458,4367771,139230.3698275046
25,100,3,7755,18739783,1641279,4374603,139145.8078659075
20,100,3,8605,16870532,1816970,4384525,149092.94167607874
10,100,3,9303,9779565,2721725,4473426,137818.86221378055
1000,100,2,1067,100244251,182230,4562324,132643.61301396549
500,100,2,1909,89607432,182603,4447286,120698.49939088277
300,100,2,2299,64711053,332789,4394541,132607.8429721903
250,100,2,2358,55277534,413346,4374647,135580.85795569906
200,100,2,3079,57719119,410986,4363751,134953.5308473441
150,100,2,3350,47022858,570992,4352560,141785.02415791323
100,100,2,4067,37967099,758714,4351997,126431.76585927882
50,100,2,6062,28671100,1048784,4351119,121631.15465073238
31,100,2,7166,21355832,1430620,4366505,127191.07454550285
25,100,2,6847,16615596,1746512,4368171,140264.9252352872
20,100,2,7697,15145765,1926168,4396288,128750.16341782724
10,100,2,9554,10065461,2666798,4472045,133825.41301433442
1000,50,50,604,25570407,1859536,4587290,161869.0265107657
500,50,50,532,20530276,2017431,4585421,160037.34667976017
300,50,50,829,21463523,1844741,4526408,144971.4957878016
250,50,50,1019,22021439,1792280,4504351,149857.43064002227
200,50,50,1205,20839812,1848643,4477753,151245.4584285217
150,50,50,1593,20648577,1878521,4464540,146151.70346337833
100,50,50,2172,18759224,1969640,4454174,140807.84225313677
50,50,50,3553,15647612,2223664,4448306,140342.75627734826
31,50,50,4996,13968110,2433976,4455679,133907.19550033563
25,50,50,6135,14036843,2473561,4463315,137179.9236102758
20,50,50,6422,11977419,2689821,4468653,127420.31886947894
10,50,50,9573,9742458,3158393,4516330,144755.53035827575
1000,50,40,589,29420899,1577435,4576875,159983.71439250285
500,50,40,606,24549568,1665719,4547792,158086.10400773576
300,50,40,901,23273763,1646070,4486188,152677.42271673484
250,50,40,1152,24785252,1587514,4477456,151849.6753116716
200,50,40,1342,23100585,1658028,4468417,150064.2410124483
150,50,40,1647,21267643,1768289,4448538,151224.04477964365
100,50,40,2329,20034488,1813967,4447538,151165.23413018207
50,50,40,3684,16163144,2116749,4426816,137010.40440101185
31,50,40,5297,14758090,2302075,4444290,135098.78062681068
25,50,40,6093,13896837,2409952,4456815,147657.6480636887
20,50,40,6489,12065532,2615232,4465210,142649.03074121932
10,50,40,9368,9516494,3127457,4508497,145636.09351756735
1000,50,30,547,33148580,1311533,4568928,160317.05392949682
500,50,30,736,31178416,1260507,4502569,150548.34548621016
300,50,30,961,24715749,1450898,4462032,145072.12979069023
250,50,30,1133,24263664,1478560,4438014,144417.1110379256
200,50,30,1422,24370756,1492695,4441530,146559.97923786656
150,50,30,1824,23436554,1558179,4421150,138444.203898193
100,50,30,2221,19013867,1766275,4419634,143189.82219101264
50,50,30,4070,17775062,1924898,4414528,132088.22079906068
31,50,30,5616,15583361,2146767,4426174,141366.2626326347
25,50,30,5766,13103859,2386556,4442899,138621.0677792383
20,50,30,6426,11910051,2547800,4446576,125871.9937879084
10,50,30,9217,9339519,3068234,4504117,137928.4381083003
1000,50,25,516,34881602,1172220,4554230,149839.02479405198
500,50,25,638,27209901,1288911,4484597,151887.05502095658
300,50,25,1154,29580331,1220075,4439024,144097.97709890263
250,50,25,1352,28859389,1257228,4433539,144935.1103759459
200,50,25,1492,25490770,1376240,4424748,151863.08130788486
150,50,25,1789,22916498,1513799,4410852,146309.9733114825
100,50,25,2585,22056207,1577897,4398929,138650.64083667012
50,50,25,4125,17964769,1875936,4406428,125846.34922885508
31,50,25,5655,15654184,2103818,4414901,130166.54839735651
25,50,25,6207,14070441,2269596,4430404,134562.58025016027
20,50,25,7036,13007758,2436113,4439130,134205.63341912915
10,50,25,8786,8890863,3068226,4502340,139068.0270344066
1000,50,20,461,35516118,1055841,4550597,157668.68970737146
500,50,20,649,27634916,1192547,4476540,138702.7621869175
300,50,20,1131,28898504,1155546,4427279,139807.61690178796
250,50,20,1287,27397653,1246447,4425015,143535.1138428499
200,50,20,1564,26641205,1263092,4413477,143505.61568362088
150,50,20,1948,24879966,1357610,4394494,132062.50301042962
100,50,20,2831,24083643,1418137,4382888,129985.7437450825
50,50,20,4125,17925548,1816822,4395768,126432.70774313502
31,50,20,5430,14999221,2074058,4408703,136708.1015223713
25,50,20,6849,15488265,2108465,4413688,133735.63802994677
20,50,20,7143,13178641,2343670,4427242,135371.1816250072
10,50,20,9482,9577669,2942739,4488307,145559.14171753556
1000,50,15,373,32683738,991883,4553341,135628.8861692803
500,50,15,819,36352721,919880,4476460,138181.2960013986
300,50,15,1198,31849786,1041510,4432154,138596.3724223901
250,50,15,1342,29722268,1127719,4419777,138325.51928657043
200,50,15,1745,30889365,1097411,4403871,145882.8685201569
150,50,15,2125,28174855,1228048,4385016,143167.45104063977
100,50,15,3037,26791823,1308831,4380399,131344.30296414075
50,50,15,4564,20459075,1641129,4376800,128258.18975883101
31,50,15,5901,16743172,1937472,4401646,141927.6009886249
25,50,15,7098,16456731,1986546,4388311,129437.97776149977
20,50,15,7712,14548765,2187004,4414485,144990.6074152667
10,50,15,8836,9050417,2961715,4487220,157801.98498587144
1000,50,10,463,43990023,698445,4555507,143309.7758193558
500,50,10,845,40069765,829851,4474568,135266.83774854493
300,50,10,1383,39300715,864428,4418704,135031.65540392653
250,50,10,1469,34712926,983934,4411438,129672.66519542034
200,50,10,1875,35394919,967154,4378000,133338.49061058598
150,50,10,2555,36125458,985843,4374639,129040.42892554025
100,50,10,2815,26338630,1269568,4367959,126792.2038219298
50,50,10,4586,21673743,1544357,4362232,126028.40564358867
31,50,10,6007,17851736,1822709,4374915,122444.13566606869
25,50,10,7184,17395901,1894735,4383208,133338.77017348373
20,50,10,8124,15933623,2047102,4392150,124651.38040334349
10,50,10,9811,10288241,2783887,4468987,135052.8713243368
1000,50,5,656,62359604,413109,4571232,129461.50207619701
500,50,5,1092,51743926,525743,4466259,136489.39184513813
300,50,5,1691,48025649,604904,4396486,131231.23222974926
250,50,5,1955,46244603,646158,4390135,136673.55349672004
200,50,5,2015,38062519,783306,4367499,126452.18583511499
150,50,5,2774,39255978,764022,4349686,133267.80943024537
100,50,5,3709,34882935,899541,4358235,133713.7450669293
50,50,5,4935,23453603,1354747,4351404,117638.75332388561
31,50,5,6690,20015441,1598217,4371928,123101.63496796426
25,50,5,7350,17905976,1767324,4377314,121917.77379929136
20,50,5,7775,15344225,1992021,4391018,133356.07896574348
10,50,5,9707,10233763,2716246,4462827,137585.2237056454
1000,50,3,832,77117767,228517,4558754,130689.39096135629
500,50,3,1349,62487064,335055,4448424,133987.40175408535
300,50,3,1893,52671049,457198,4385665,136055.47266041138
250,50,3,1968,45633069,556228,4378988,131759.3845941119
200,50,3,2465,45698504,555869,4359156,132439.58088944718
150,50,3,3177,44143067,610889,4351062,139987.15879217398
100,50,3,4175,38616309,752211,4351073,132422.61169883134
50,50,3,6065,28483915,1086643,4353311,133018.2944884145
31,50,3,7111,21076238,1459458,4367771,139230.3698275046
25,50,3,7755,18739782,1641279,4374603,139145.8078659075
20,50,3,8605,16870531,1816970,4384525,149092.94167607874
10,50,3,9303,9779564,2721725,4473426,137818.86221378055
1000,50,2,1083,101742944,195735,4562566,133233.34035967136
500,50,2,1847,86733492,185937,4447365,120567.37103910414
300,50,2,2299,64711052,332789,4394541,132607.8429721903
250,50,2,2358,55277533,413346,4374647,135580.85795569912
200,50,2,3079,57719118,410986,4363751,134953.5308473441
150,50,2,3350,47022856,570992,4352560,141785.02415789975
100,50,2,4067,37967098,758714,4351997,126431.76585927882
50,50,2,6062,28671099,1048784,4351119,121631.15465073238
31,50,2,7166,21355831,1430620,4366505,127191.07454564626
25,50,2,6847,16615596,1746512,4368171,140264.9252352872
20,50,2,7697,15145764,1926168,4396288,128750.16341782724
10,50,2,9554,10065460,2666798,4472045,133825.41301433442
1000,40,50,857,28126776,1712951,4572725,157756.87897000439
500,40,50,751,23583374,1842542,4570734,151402.50972366607
300,40,50,891,22153094,1826955,4531234,150580.25597777477
250,40,50,952,20367395,1883394,4499979,148089.72958464222
200,40,50,1215,21000071,1855820,4484824,152773.8319911158
150,40,50,1536,19913384,1912446,4465720,148762.60906391052
100,40,50,2434,21011283,1857268,4452152,145117.85805719567
50,40,50,3553,15647612,2223664,4448306,140342.75627734826
31,40,50,4996,13968110,2433976,4455679,133907.19550033563
25,40,50,6135,14036843,2473561,4463315,137179.9236102758
20,40,50,6422,11977419,2689821,4468653,127420.31886947894
10,40,50,9573,9742458,3158393,4516330,144755.53035827575
1000,40,40,760,29529448,1538104,4565906,157520.57289654907
500,40,40,765,26448897,1586356,4540097,159024.70565054775
300,40,40,912,23168155,1655054,4488049,155691.79528928746
250,40,40,976,20969790,1754434,4479421,155818.5897283925
200,40,40,1296,22316332,1696313,4459720,146490.1272633994
150,40,40,1642,21207161,1748859,4451781,157015.67836702408
100,40,40,2309,19862729,1831201,4443816,147776.86327190071
50,40,40,3684,16163144,2116749,4426816,137010.40440101185
31,40,40,5297,14758090,2302075,4444290,135098.78062681068
25,40,40,6093,13896837,2409952,4456815,147657.6480636887
20,40,40,6489,12065532,2615232,4465210,142649.03074121932
10,40,40,9368,9516494,3127457,4508497,145636.09351756735
1000,40,30,767,36243641,1193265,4551690,155522.49376912872
500,40,30,811,31528335,1263363,4500807,147613.7802027273
300,40,30,1019,26154311,1403562,4458984,144917.64873263592
250,40,30,1097,23490732,1509336,4438770,142802.45877993276
200,40,30,1405,24069147,1481710,4435542,140805.43602363998
150,40,30,2169,27847928,1381468,4414156,132373.9672792033
100,40,30,2235,19130273,1755385,4420986,141706.02493938926
50,40,30,4070,17775062,1924898,4414528,132088.22079906068
31,40,30,5616,15583361,2146767,4426174,141366.2626326347
25,40,30,5766,13103859,2386556,4442899,138621.0677792383
20,40,30,6426,11910051,2547800,4446576,125871.9937879084
10,40,30,9217,9339519,3068234,4504117,137928.4381083003
1000,40,25,593,32945254,1183500,4550520,146492.2498261968
500,40,25,668,27538668,1296831,4482645,158215.76561286813
300,40,25,1071,27437467,1301607,4441190,143732.36259253116
250,40,25,1252,26744407,1331315,4434973,149827.43565185196
200,40,25,1594,27214540,1328244,4415921,145931.0111709989
150,40,25,1736,22231249,1522431,4409839,149131.70784843137
100,40,25,2399,20472073,1640121,4401218,140972.06394138804
50,40,25,4125,17964769,1875936,4406428,125846.34922885508
31,40,25,5655,15654186,2103818,4414901,130166.5483973334
25,40,25,6207,14070441,2269596,4430404,134562.58025016027
20,40,25,7036,13007758,2436113,4439130,134205.63341912915
10,40,25,8786,8890863,3068226,4502340,139068.0270344066
1000,40,20,566,36557273,996044,4547642,158324.30641753323
500,40,20,726,30788414,1110829,4472149,134841.30035453162
300,40,20,1125,28747478,1162824,4433294,141999.08906071674
250,40,20,1267,26969832,1255262,4427619,147251.4245048647
200,40,20,1744,29701347,1167034,4408359,144574.13349252514
150,40,20,1860,23759464,1408990,4399182,134678.89564751554
100,40,20,2767,23536393,1438975,4383360,129620.73369404065
50,40,20,4125,17925540,1816822,4395768,126432.70774260531
31,40,20,5430,14999221,2074058,4408703,136708.1015223713
25,40,20,6849,15488265,2108465,4413688,133735.63802994677
20,40,20,7143,13178641,2343670,4427242,135371.1816250072
10,40,20,9482,9577669,2942739,4488307,145559.14171753556
1000,40,15,413,33818250,960967,4549894,136906.64892345076
500,40,15,742,32917685,983186,4471285,132875.62075077253
300,40,15,1287,34224706,978409,4436028,142056.3444966896
250,40,15,1579,34973703,971659,4415764,140023.9025637363
200,40,15,1649,29195961,1163202,4399549,146830.12837748774
150,40,15,2179,28897787,1202039,4385189,149757.18103972383
100,40,15,3037,26791823,1308831,4380399,131344.30296414075
50,40,15,4564,20459075,1641129,4376800,128258.18975883101
31,40,15,5901,16743172,1937472,4401646,141927.6009886249
25,40,15,7098,16456731,1986546,4388311,129437.97776149977
20,40,15,7712,14548765,2187004,4414485,144990.6074152667
10,40,15,8836,9050417,2961715,4487220,157801.98498587144
1000,40,10,477,45315543,670185,4558413,143879.795704602
500,40,10,865,41027380,780578,4473839,137773.32640382802
300,40,10,1436,40822354,830539,4422776,134404.51045567836
250,40,10,1614,38173839,884130,4409264,133594.3782244431
200,40,10,1851,34943255,976664,4379703,135000.22643641572
150,40,10,2478,35009736,1003328,4375486,129100.32953164107
100,40,10,2815,26338630,1269568,4367959,126792.2038219298
50,40,10,4586,21673743,1544357,4362232,126028.40564358867
31,40,10,6007,17851733,1822709,4374915,122444.13566606895
25,40,10,7184,17395901,1894735,4383208,133338.77017348373
20,40,10,8124,15933623,2047102,4392150,124651.38040334349
10,40,10,9811,10288241,2783887,4468987,135052.8713243368
1000,40,5,625,59324465,394160,4574403,129412.49562171414
500,40,5,957,45344629,619832,4465812,139010.6178687986
300,40,5,1584,44994615,652697,4397896,133188.75034350168
250,40,5,1782,42137283,697249,4391309,137862.0353833735
200,40,5,2015,38062519,783306,4367499,126452.18583511499
150,40,5,2774,39255978,764022,4349686,133267.80943024537
100,40,5,3709,34882935,899541,4358235,133713.7450669293
50,40,5,4935,23453606,1354747,4351404,117638.7533237478
31,40,5,6690,20015441,1598217,4371928,123101.63496796426
25,40,5,7350,17905977,1767324,4377314,121917.77379929136
20,40,5,7775,15344225,1992021,4391018,133356.07896574348
10,40,5,9707,10233763,2716246,4462827,137585.2237056454
1000,40,3,811,75131283,256487,4556506,134042.48788023292
500,40,3,1211,56148577,378355,4447367,131605.68273968503
300,40,3,1907,53056023,450812,4387167,135664.5319101005
250,40,3,2047,47465815,542374,4378679,131183.74447539743
200,40,3,2465,45698504,555869,4359156,132439.58088944718
150,40,3,3177,44143068,610889,4351062,139987.1587921777
100,40,3,4175,38616309,752211,4351073,132422.61169883053
50,40,3,6065,28483914,1086643,4353311,133018.2944884145
31,40,3,7111,21076238,1459458,4367771,139230.3698275046
25,40,3,7755,18739782,1641279,4374603,139145.8078659075
20,40,3,8605,16870531,1816970,4384525,149092.94167607874
10,40,3,9303,9779564,2721725,4473426,137818.86221378055
1000,40,2,1169,109906029,185441,4561918,132433.46872060667
500,40,2,1525,71593701,276332,4451289,118890.67501647664
300,40,2,2248,63282451,348868,4392259,137461.63262897154
250,40,2,2274,53322283,446645,4374194,135310.61030446072
200,40,2,3079,57719118,410986,4363751,134953.5308473441
150,40,2,3350,47022856,570992,4352560,141785.02415789975
100,40,2,4067,37967098,758714,4351997,126431.76585927891
50,40,2,6062,28671099,1048784,4351119,121631.15465073238
31,40,2,7166,21355831,1430620,4366505,127191.07454550284
25,40,2,6847,16615596,1746512,4368171,140264.9252352872
20,40,2,7697,15145764,1926168,4396288,128750.16341782724
10,40,2,9554,10065460,2666798,4472045,133825.41301433442
1000,35,50,998,28166130,1689819,4563592,155710.25385634735
500,35,50,860,23449011,1851921,4561720,154073.66299042263
300,35,50,972,22515745,1819869,4524495,147635.47411676694
